metabolite_ID	predicted_GCFs	max_jaccard	pep_mass	peak_count
181	CCMSLIB00005436021	['GCF191' 'GCF493' 'GCF493']	0.01	739.4616	5
182	CCMSLIB00000425683	['GCF530' 'GCF553' 'GCF530']	0.06	251.1613	1
183	CCMSLIB00004721627	['GCF522' 'GCF531' 'GCF538']	0.01	299.1098	1
184	CCMSLIB00000569310	['GCF533' 'GCF531' 'GCF539']	0.33	291.1939	1
185	CCMSLIB00000839186	['GCF229' 'GCF168' 'GCF134']	0.0	331.1874	1
186	CCMSLIB00000220211	['GCF589' 'GCF584' 'GCF584']	0.71	494.5656	2
187	CCMSLIB00004697436	['GCF484' 'GCF446' 'GCF446']	0.0	577.328	3
188	CCMSLIB00000568813	['GCF584' 'GCF584' 'GCF584']	0.05	261.0619	1
189	CCMSLIB00000205132	['GCF539' 'GCF589' 'GCF137']	0.05	181.1215	4
190	CCMSLIB00004709008	['GCF553' 'GCF573' 'GCF573']	0.12	163.1109	0
191	CCMSLIB00000075323	['GCF229' 'GCF168' 'GCF134']	0.0	577.3257	0
192	CCMSLIB00004696714	['GCF550' 'GCF584' 'GCF584']	0.07	339.2863	1
193	CCMSLIB00004709020	['GCF527' 'GCF102' 'GCF102']	0.01	393.2607	2
194	CCMSLIB00000206375	['GCF550' 'GCF584' 'GCF584']	0.12	331.1872	2
195	CCMSLIB00004713939	['GCF638' 'GCF484' 'GCF484']	0.02	467.2154	1
196	CCMSLIB00000839970	['GCF589' 'GCF618' 'GCF618']	0.11	539.3546	3
197	CCMSLIB00004698936	['GCF589' 'GCF618' 'GCF751']	0.07	539.3551	2
198	CCMSLIB00000573957	['GCF191' 'GCF191' 'GCF697']	0.04	539.3544	0
199	CCMSLIB00000204990	['GCF1' 'GCF361' 'GCF361']	0.02	557.3933	7
200	CCMSLIB00004715623	['GCF517' 'GCF102' 'GCF587']	0.01	747.5039	6
201	CCMSLIB00004684884	['GCF553' 'GCF527' 'GCF553']	0.18	494.5648	1
202	CCMSLIB00000006871	['GCF531' 'GCF527' 'GCF626']	0.05	522.5963	2
203	CCMSLIB00004702363	['GCF584' 'GCF584' 'GCF584']	0.15	522.5964	2
204	CCMSLIB00000424833	['GCF517' 'GCF553' 'GCF539']	0.1	494.565	2
205	CCMSLIB00000006865	['GCF584' 'GCF584' 'GCF584']	0.43	522.5961	2
206	CCMSLIB00004720897	['GCF584' 'GCF584' 'GCF584']	0.46	522.5964	3
207	CCMSLIB00004720883	['GCF530' 'GCF579' 'GCF632']	0.01	522.5961	2
208	CCMSLIB00004684847	['GCF640' 'GCF617' 'GCF523']	0.14	522.5967	2
209	CCMSLIB00004712819	['GCF587' 'GCF585' 'GCF585']	0.23	522.5966	2
210	CCMSLIB00000478631	['GCF580' 'GCF580' 'GCF584']	0.5	522.5964	3
211	CCMSLIB00004721541	['GCF527' 'GCF553' 'GCF530']	0.02	522.5961	2
212	CCMSLIB00004720887	['GCF584' 'GCF584' 'GCF584']	0.43	522.5969	2
213	CCMSLIB00000579271	['GCF525' 'GCF553' 'GCF522']	0.02	522.596	0
214	CCMSLIB00004720893	['GCF634' 'GCF626' 'GCF626']	0.22	494.5648	0
215	CCMSLIB00004712821	['GCF527' 'GCF553' 'GCF531']	0.22	494.5651	2
216	CCMSLIB00005435666	['GCF530' 'GCF522' 'GCF525']	0.01	522.5965	0
217	CCMSLIB00005716775	['GCF589' 'GCF618' 'GCF618']	0.5	513.1762	3
218	CCMSLIB00004692006	['GCF229' 'GCF168' 'GCF134']	0.0	511.1781	0
219	CCMSLIB00004719747	['GCF383' 'GCF388' 'GCF388']	0.08	435.2839	2
220	CCMSLIB00004720878	['GCF589' 'GCF617' 'GCF456']	0.12	433.2678	3
221	CCMSLIB00004702367	['GCF363' 'GCF363' 'GCF364']	0.03	437.2989	2
222	CCMSLIB00004698932	['GCF589' 'GCF618' 'GCF618']	0.5	777.3244	5
223	CCMSLIB00000081265	['GCF578' 'GCF578' 'GCF229']	0.5	903.5625	1
224	CCMSLIB00004679299	['GCF589' 'GCF539' 'GCF618']	0.25	903.5628	1
225	CCMSLIB00000218173	['GCF594' 'GCF623' 'GCF623']	0.38	307.1886	2
226	CCMSLIB00000572697	['GCF589' 'GCF618' 'GCF618']	0.5	339.1786	2
227	CCMSLIB00004685750	['GCF572' 'GCF229' 'GCF168']	0.0	365.1937	0
228	CCMSLIB00004709018	['GCF550' 'GCF550' 'GCF550']	0.07	333.2038	1
229	CCMSLIB00004697432	['GCF610' 'GCF609' 'GCF581']	0.5	307.2256	2
230	CCMSLIB00004689142	['GCF248' 'GCF584' 'GCF137']	0.02	551.3554	3
231	CCMSLIB00001058188	['GCF584' 'GCF584' 'GCF584']	0.02	595.3816	3
232	CCMSLIB00004696710	['GCF82' 'GCF82' 'GCF82']	0.25	639.4078	3
233	CCMSLIB00004689977	['GCF82' 'GCF82' 'GCF82']	0.13	507.3289	2
234	CCMSLIB00000221137	['GCF584' 'GCF589' 'GCF361']	0.01	685.4353	3
235	CCMSLIB00005724314	['GCF585' 'GCF582' 'GCF580']	0.22	780.4883	2
236	CCMSLIB00004681481	['GCF584' 'GCF584' 'GCF584']	0.03	683.4338	3
237	CCMSLIB00000572720	['GCF361' 'GCF361' 'GCF361']	0.01	581.3662	3
238	CCMSLIB00004721623	['GCF248' 'GCF584' 'GCF584']	0.06	727.46	4
239	CCMSLIB00004721179	['GCF584' 'GCF584' 'GCF584']	0.02	463.3027	3
240	CCMSLIB00000220215	['GCF580' 'GCF580' 'GCF580']	0.21	537.3399	3
241	CCMSLIB00000220598	['GCF584' 'GCF579' 'GCF584']	0.02	685.4364	3
242	CCMSLIB00004685156	['GCF364' 'GCF363' 'GCF359']	0.01	771.4863	4
243	CCMSLIB00000213620	['GCF638' 'GCF637' 'GCF533']	0.5	494.841	2
244	CCMSLIB00000566972	['GCF550' 'GCF550' 'GCF550']	0.11	522.5967	2
245	CCMSLIB00000212502	['GCF584' 'GCF584' 'GCF584']	0.38	522.5965	2
246	CCMSLIB00004721353	['GCF531' 'GCF531' 'GCF539']	0.2	461.0617	14
247	CCMSLIB00000086126	['GCF531' 'GCF522' 'GCF539']	0.43	463.0589	7
248	CCMSLIB00004721347	['GCF539' 'GCF613' 'GCF613']	0.5	411.0637	13
249	CCMSLIB00005435935	['GCF539' 'GCF613' 'GCF613']	0.5	409.0661	6
